                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.6326,                0.69533,                0.82732,                 0.6591,                0.63531,                0.64773,                0.20405,                 2.5552,                 1.1139,                0.93926,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.6206,                0.70813,                0.82644,                0.71003,                0.57143,                0.59999,                0.19864,                 2.6162,                 1.1122,                0.95126,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.6329,                 0.7282,                0.82895,                0.68524,                0.67143,                0.66268,                0.23034,                 2.5326,                0.93332,                0.94398,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.6507,                0.73822,                0.82651,                0.68147,                0.58571,                0.58573,                0.16389,                 2.8834,                 1.1155,                0.96464,              0.0006338,              0.0006338,              0.0006338
                     72,                   1.62,                0.71602,                0.82504,                0.60443,                0.55714,                 0.5548,                0.15133,                  2.931,                 1.0596,                0.97433,               0.000614,               0.000614,               0.000614
                     73,                 1.5915,                0.70946,                 0.8338,                0.81778,                0.64113,                0.71198,                0.22551,                  2.577,                 1.0613,                 0.9399,              0.0005942,              0.0005942,              0.0005942
                     74,                  1.675,                0.69902,                 0.8242,                0.65573,                0.62586,                0.60355,                0.19745,                  2.491,                0.96938,                0.94155,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.6658,                0.73657,                0.83123,                0.74274,                0.61871,                0.64547,                0.22282,                 2.5984,                 1.0001,                 0.9449,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.5801,                0.67767,                0.82329,                0.65635,                0.57143,                0.53332,                0.18183,                 2.6231,                 1.0844,                0.94691,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.5751,                0.68685,                0.82313,                 0.7149,                0.53738,                0.53822,                0.17447,                 2.5364,                 1.1116,                0.94651,               0.000515,               0.000515,               0.000515
                     78,                 1.5214,                0.65053,                0.81084,                0.72171,                0.66692,                0.63914,                0.19968,                 2.5789,                0.92847,                0.93901,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.5948,                  0.677,                0.82498,                0.69841,                0.64286,                0.61829,                0.19606,                 2.6266,                 1.0446,                0.94708,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.5133,                0.67083,                 0.8205,                0.70714,                0.67143,                0.61559,                 0.2062,                 2.5724,                0.95571,                0.93963,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.5388,                0.64163,                0.82453,                0.81785,                0.70563,                0.76521,                0.22425,                  2.654,                0.95121,                0.94696,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.4755,                0.64126,                0.81395,                0.73969,                0.69015,                0.71422,                0.20845,                 2.6237,                 1.0267,                0.94543,               0.000416,               0.000416,               0.000416
                     83,                 1.5197,                0.64631,                0.81046,                0.73361,                0.66884,                0.68654,                0.23654,                 2.4433,                0.99831,                0.93162,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.4976,                0.62361,                0.80527,                 0.8034,                0.70054,                0.72224,                0.24085,                   2.35,                 0.9382,                0.92747,              0.0003764,              0.0003764,              0.0003764
